Komponente,Größe,Einheit,2020,2025,2030,2035,2040,2045,2050
LKW Hybrid H2- Brennstoffzelle / Batterie,Batteriekapazität,kWh,50,50,50,50,50,50,50
LKW Hybrid H2- Brennstoffzelle / Batterie,Wirkungsgrad Batterie*,%,74.1,74.1,74.1,74.1,74.1,74.1,74.1
LKW Hybrid ICE Flüssigtreibstoff / Batterie,Investition,EUR/truck,124728,121279,119580,119395,120463,122492,125123
LKW Hybrid ICE Flüssigtreibstoff / Batterie,Lebensdauer,a,15,15,15,15,15,15,15
LKW Hybrid ICE Flüssigtreibstoff / Batterie,M/O-Kosten,% Invest,14.4,14.8,15.0,15.1,14.9,14.7,14.4
LKW Hybrid ICE Flüssigtreibstoff / Batterie,Wirkungsgrad*,%,37.3,37.3,37.3,37.3,37.3,37.3,37.3
LKW Hybrid ICE Flüssigtreibstoff / Batterie,Anteil Batterie Fahrleistung,%,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LKW Hybrid ICE Flüssigtreibstoff / Batterie,Batteriekapazität,kWh,50,50,50,50,50,50,50
LKW Hybrid ICE Flüssigtreibstoff / Batterie,Wirkungsgrad Batterie*,%,74.1,74.1,74.1,74.1,74.1,74.1,74.1
LKW Hybrid ICE Gas/Batterie,Investition,EUR/truck,133788,130476,128831,128645,129684,131682,134301
LKW Hybrid ICE Gas/Batterie,Lebensdauer,a,15,15,15,15,15,15,15
LKW Hybrid ICE Gas/Batterie,M/O-Kosten,% Invest,13.4,13.8,14.0,14.0,13.9,13.7,13.4
LKW Hybrid ICE Gas/Batterie,Wirkungsgrad*,%,30.1,30.1,30.1,30.1,30.1,30.1,30.1
LKW Hybrid ICE Gas/Batterie,Anteil Batterie Fahrleistung,%,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LKW Hybrid ICE Gas/Batterie,Batteriekapazität,kWh,50,50,50,50,50,50,50
LKW Hybrid ICE Gas/Batterie,Wirkungsgrad Batterie*,%,74.1,74.1,74.1,74.1,74.1,74.1,74.1
LKW Batterie- Elektromotor,Investition,EUR/truck,204067,165765,136400,134700,133000,131200,129400
LKW Batterie- Elektromotor,Lebensdauer,a,15,15,15,15,15,15,15
LKW Batterie- Elektromotor,M/O-Kosten,% Invest,14.0,14.0,15.0,16.0,16.0,16.0,16.0
LKW Batterie- Elektromotor,Wirkungsgrad*,%,74.0,74.0,74.0,74.0,74.0,74.0,74.0
LKW Batterie- Elektromotor,Anteil Batterie Fahrleistung,%,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LKW Batterie- Elektromotor,Batteriekapazität,kWh,200,200,200,200,200,200,200
LKW Batterie- Elektromotor,Wirkungsgrad Batterie*,%,74.0,74.0,74.0,74.0,74.0,74.0,74.0
